Province;Comuni;Posti Letto;Popolazione residente;Superficie comunale (km2);Rapporto Comunale Ricettività;Rapporto Regionale Ricettività;Rapporto Area Rurale;Marginalità SI/NO;Area Rurale SI/NO;Isola Minore;Punteggio Lettera E;;;;;;;;;;;;;;;;
MESSINA;Mirto; 	19 ;873; 	9,27 ;2,050; 	8,48   ;94,1818691810601;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Mistretta; 	16 ;4.308; 	127,47 ;0,126; 	8,48   ;33,7962668775403;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Moio Alcantara; 	39 ;686; 	8,60 ;4,535; 	8,48   ;79,7692969603944;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Monforte San Giorgio; 	50 ;2.442; 	32,26 ;1,550; 	8,48   ;75,6967542149329;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Mongiuffi Melia; 	-   ;520; 	24,36 ;0,000; 	8,48   ;21,3441038965304;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Montagnareale; 	13 ;1.373; 	16,38 ;0,794; 	8,48   ;83,8365766832956;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Montalbano Elicona; 	65 ;2.065; 	67,80 ;0,959; 	8,48   ;30,4564185611591;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Motta Camastra; 	130 ;790; 	25,31 ;5,136; 	8,48   ;31,2136992579832;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Motta d'Affermo; 	2 ;654; 	14,58 ;0,137; 	8,48   ;44,8664297572822;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Naso; 	26 ;3.419; 	36,74 ;0,708; 	8,48   ;93,0661752496781;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Nizza di Sicilia; 	69 ;3.520; 	13,42 ;5,143; 	8,48   ;262,381108560184;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Novara di Sicilia; 	29 ;1.131; 	49,18 ;0,590; 	8,48   ;22,9976209357653;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Oliveri; 	97 ;2.174; 	10,43 ;9,296; 	8,48   ;208,339322849285;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Pace del Mela; 	40 ;5.962; 	12,18 ;3,285; 	8,48   ;489,659817014077;SI;NO;;3;;;;;;;;;;;;;;;;
